Qualifying Name,State Postal Abbreviation,Summary Level,Geographic Component,State (FIPS Code),County of current residence,Census Tract,Block Group,Area Name,Median Household Income (In 2022 Inflation Adjusted Dollars),Average Family Income (In 2022 Inflation Adjusted Dollars),Median Family Income (In 2022 Inflation Adjusted Dollars),Households:,"Households: Less than $10,000","Households: $10,000 to $14,999","Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999","Households: $200,000 or More"
"Block Group 1, Census Tract 1013, Los Angeles County, California",ca,150,00,06,037,101300,1,Block Group 1,89907,135570.648464164,99449,396,18,0,27,8,8,24,18,4,0,0,57,85,6,68,17,56
"Block Group 2, Census Tract 1013, Los Angeles County, California",ca,150,00,06,037,101300,2,Block Group 2,121891,160232.686084142,140764,376,10,0,0,0,7,31,0,9,0,16,35,21,78,26,72,71
"Block Group 3, Census Tract 1013, Los Angeles County, California",ca,150,00,06,037,101300,3,Block Group 3,109508,152973.308270677,149400,335,11,0,30,0,8,43,0,0,7,0,8,34,33,25,43,93
"Block Group 4, Census Tract 1013, Los Angeles County, California",ca,150,00,06,037,101300,4,Block Group 4,144444,153680.276816609,148977,318,14,19,0,0,0,0,0,0,0,0,18,49,16,62,63,77
"Block Group 1, Census Tract 1014, Los Angeles County, California",ca,150,00,06,037,101400,1,Block Group 1,61985,112310.810810811,85427,381,0,53,32,58,0,0,0,12,22,0,17,73,0,29,28,57
"Block Group 2, Census Tract 1014, Los Angeles County, California",ca,150,00,06,037,101400,2,Block Group 2,118370,125296.842105263,135809,426,0,9,0,82,0,0,0,21,44,0,19,19,49,41,85,57
"Block Group 3, Census Tract 1014, Los Angeles County, California",ca,150,00,06,037,101400,3,Block Group 3,112639,99787.4193548387,78750,480,10,0,0,58,17,0,6,0,0,89,20,17,156,0,56,51
"Block Group 1, Census Tract 1021.03, Los Angeles County, California",ca,150,00,06,037,102103,1,Block Group 1,65250,87210.1075268817,71767,671,44,0,23,50,36,25,57,45,5,36,71,61,40,82,73,23
"Block Group 1, Census Tract 1021.04, Los Angeles County, California",ca,150,00,06,037,102104,1,Block Group 1,109762,165067.371202114,132026,1000,11,51,9,0,9,10,0,49,58,40,12,185,155,138,72,201
"Block Group 2, Census Tract 1021.04, Los Angeles County, California",ca,150,00,06,037,102104,2,Block Group 2,93750,127962.916666667,111667,304,31,24,0,0,9,0,0,16,0,10,35,37,58,0,21,63
"Block Group 1, Census Tract 1021.05, Los Angeles County, California",ca,150,00,06,037,102105,1,Block Group 1,96719,163936.585365854,102969,223,0,0,0,6,0,0,22,5,0,19,16,46,48,0,0,61
"Block Group 2, Census Tract 1021.05, Los Angeles County, California",ca,150,00,06,037,102105,2,Block Group 2,90104,98689.7350993377,90789,334,5,15,3,0,32,15,0,6,5,63,10,40,60,11,5,64
"Block Group 1, Census Tract 1021.07, Los Angeles County, California",ca,150,00,06,037,102107,1,Block Group 1,97847,124475.621118012,99861,922,116,19,22,0,0,0,0,11,0,108,137,79,46,53,143,188
"Block Group 2, Census Tract 1021.07, Los Angeles County, California",ca,150,00,06,037,102107,2,Block Group 2,97321,157682.02764977,119896,280,0,12,0,0,0,12,0,30,0,0,73,14,32,23,22,62
"Block Group 1, Census Tract 1031.01, Los Angeles County, California",ca,150,00,06,037,103101,1,Block Group 1,133150,148789.311163895,138594,625,23,0,0,56,5,19,0,0,0,23,13,102,43,103,106,132
"Block Group 2, Census Tract 1031.01, Los Angeles County, California",ca,150,00,06,037,103101,2,Block Group 2,100625,134160.068259386,,342,8,16,7,0,27,0,0,0,0,56,14,36,33,5,54,86
"Block Group 1, Census Tract 1031.02, Los Angeles County, California",ca,150,00,06,037,103102,1,Block Group 1,69375,78565.5,64688,290,34,0,0,0,0,0,44,0,0,37,32,72,8,13,10,40
"Block Group 2, Census Tract 1031.02, Los Angeles County, California",ca,150,00,06,037,103102,2,Block Group 2,58036,75584.5637583893,59688,208,0,0,6,0,0,42,0,50,0,28,7,45,0,10,9,11
"Block Group 3, Census Tract 1031.02, Los Angeles County, California",ca,150,00,06,037,103102,3,Block Group 3,95847,118333.333333333,96129,473,0,0,7,20,12,10,0,36,0,22,56,94,111,41,25,39
"Block Group 4, Census Tract 1031.02, Los Angeles County, California",ca,150,00,06,037,103102,4,Block Group 4,85778,135667.510548523,88029,364,11,84,0,21,0,0,5,0,0,30,17,97,36,31,0,32
"Block Group 5, Census Tract 1031.02, Los Angeles County, California",ca,150,00,06,037,103102,5,Block Group 5,100179,127285.096153846,113750,296,8,9,13,0,6,0,0,0,0,33,63,15,43,50,30,26
"Block Group 1, Census Tract 1032.01, Los Angeles County, California",ca,150,00,06,037,103201,1,Block Group 1,78100,139061.520190024,112672,846,116,78,11,0,10,0,0,0,67,86,29,138,64,66,91,90
"Block Group 2, Census Tract 1032.01, Los Angeles County, California",ca,150,00,06,037,103201,2,Block Group 2,104464,118131.25,111958,731,17,15,139,0,26,0,60,0,49,2,10,31,128,104,86,64
"Block Group 1, Census Tract 1032.02, Los Angeles County, California",ca,150,00,06,037,103202,1,Block Group 1,112491,162115.913978495,115972,635,0,0,0,5,42,0,25,12,43,21,18,18,230,17,100,104
"Block Group 1, Census Tract 1033, Los Angeles County, California",ca,150,00,06,037,103300,1,Block Group 1,134722,203226.509186352,151250,512,9,26,37,0,0,0,0,0,0,7,49,62,58,40,39,185
"Block Group 2, Census Tract 1033, Los Angeles County, California",ca,150,00,06,037,103300,2,Block Group 2,129679,173802.941176471,169444,726,12,41,11,13,8,25,9,0,8,46,16,68,72,52,104,241
"Block Group 1, Census Tract 1034.01, Los Angeles County, California",ca,150,00,06,037,103401,1,Block Group 1,96884,136117.056856187,125259,960,56,4,30,54,63,0,12,0,51,11,72,157,59,179,87,125
"Block Group 1, Census Tract 1034.02, Los Angeles County, California",ca,150,00,06,037,103402,1,Block Group 1,97845,110671.2,99397,332,15,28,42,0,0,0,0,0,0,13,34,59,12,62,59,8
"Block Group 2, Census Tract 1034.02, Los Angeles County, California",ca,150,00,06,037,103402,2,Block Group 2,127308,127734.98349835,128750,318,0,0,0,0,19,25,0,0,0,0,33,42,28,26,108,37
"Block Group 3, Census Tract 1034.02, Los Angeles County, California",ca,150,00,06,037,103402,3,Block Group 3,141250,171945.871559633,190972,272,13,0,0,0,0,0,0,0,54,0,19,15,35,0,38,98
"Block Group 4, Census Tract 1034.02, Los Angeles County, California",ca,150,00,06,037,103402,4,Block Group 4,107476,148111.650485437,110089,421,9,15,0,0,0,0,13,0,0,16,18,44,110,62,15,119
"Block Group 1, Census Tract 1041.03, Los Angeles County, California",ca,150,00,06,037,104103,1,Block Group 1,94914,130016.666666667,96000,450,0,7,6,11,0,0,15,0,30,4,77,88,30,36,68,78
"Block Group 2, Census Tract 1041.03, Los Angeles County, California",ca,150,00,06,037,104103,2,Block Group 2,112639,108037.087912088,112857,415,16,6,0,11,28,0,0,33,0,14,35,12,86,36,94,44
"Block Group 1, Census Tract 1041.05, Los Angeles County, California",ca,150,00,06,037,104105,1,Block Group 1,98618,104572.122762148,105517,459,42,5,0,5,14,0,0,17,0,40,90,27,113,3,65,38
"Block Group 2, Census Tract 1041.05, Los Angeles County, California",ca,150,00,06,037,104105,2,Block Group 2,36974,50970.8791208791,35921,790,134,10,60,25,40,111,45,3,36,84,69,64,5,88,16,0
"Block Group 3, Census Tract 1041.05, Los Angeles County, California",ca,150,00,06,037,104105,3,Block Group 3,70000,70380.4054054054,68125,340,0,0,0,28,9,0,35,6,28,40,41,62,23,26,25,17
"Block Group 1, Census Tract 1041.08, Los Angeles County, California",ca,150,00,06,037,104108,1,Block Group 1,58894,86546.6501240695,39698,403,28,0,0,0,80,30,38,0,11,26,17,52,36,0,11,74
"Block Group 2, Census Tract 1041.08, Los Angeles County, California",ca,150,00,06,037,104108,2,Block Group 2,42723,86798.6455981941,,633,32,120,21,50,63,20,0,36,25,7,68,21,56,11,42,61
"Block Group 3, Census Tract 1041.08, Los Angeles County, California",ca,150,00,06,037,104108,3,Block Group 3,137594,120754.708520179,131625,233,12,0,0,0,0,0,10,0,0,24,23,25,21,40,51,27
"Block Group 1, Census Tract 1041.24, Los Angeles County, California",ca,150,00,06,037,104124,1,Block Group 1,55797,67410.650887574,56250,487,13,32,53,56,0,20,24,27,0,58,2,126,38,0,37,1
"Block Group 2, Census Tract 1041.24, Los Angeles County, California",ca,150,00,06,037,104124,2,Block Group 2,90238,123900,87614,580,0,0,0,54,63,76,0,25,15,0,22,87,47,49,36,106
"Block Group 3, Census Tract 1041.24, Los Angeles County, California",ca,150,00,06,037,104124,3,Block Group 3,98750,115732.972972973,113047,243,5,0,0,0,0,16,32,0,9,12,32,16,32,11,61,17
"Block Group 1, Census Tract 1042.01, Los Angeles County, California",ca,150,00,06,037,104201,1,Block Group 1,86313,134288.4,116500,275,11,0,5,5,14,0,0,14,0,43,31,24,5,54,19,50
"Block Group 2, Census Tract 1042.01, Los Angeles County, California",ca,150,00,06,037,104201,2,Block Group 2,94333,186434.459459459,98000,322,0,0,7,20,0,26,0,14,0,10,38,63,0,70,31,43
"Block Group 3, Census Tract 1042.01, Los Angeles County, California",ca,150,00,06,037,104201,3,Block Group 3,93214,92550.5791505792,74712,274,3,31,4,0,1,8,13,0,0,15,60,37,25,19,56,2
"Block Group 1, Census Tract 1042.03, Los Angeles County, California",ca,150,00,06,037,104203,1,Block Group 1,65357,90186.9477911647,66389,624,42,35,0,13,25,20,0,0,18,103,136,49,72,10,35,66
"Block Group 2, Census Tract 1042.03, Los Angeles County, California",ca,150,00,06,037,104203,2,Block Group 2,64107,85254.8888888889,75431,500,26,38,28,7,66,11,0,47,0,9,38,52,72,18,51,37
"Block Group 1, Census Tract 1042.04, Los Angeles County, California",ca,150,00,06,037,104204,1,Block Group 1,55625,81794.5701357466,43938,256,0,9,0,16,9,55,0,21,15,12,22,37,6,16,17,21
"Block Group 2, Census Tract 1042.04, Los Angeles County, California",ca,150,00,06,037,104204,2,Block Group 2,93911,99887.4125874126,81607,459,11,0,18,0,19,28,0,20,24,10,68,61,67,37,37,59
"Block Group 1, Census Tract 1043.10, Los Angeles County, California",ca,150,00,06,037,104310,1,Block Group 1,103162,99177.6951672862,84375,301,0,6,0,0,0,12,0,10,0,0,55,63,35,31,58,31
"Block Group 2, Census Tract 1043.10, Los Angeles County, California",ca,150,00,06,037,104310,2,Block Group 2,62935,84864.0692640693,69844,294,29,0,0,30,0,13,5,16,0,18,63,16,42,22,21,19
"Block Group 3, Census Tract 1043.10, Los Angeles County, California",ca,150,00,06,037,104310,3,Block Group 3,103977,128378.839590444,125677,332,6,22,15,7,11,0,0,26,0,0,16,50,26,60,55,38
"Block Group 1, Census Tract 1043.21, Los Angeles County, California",ca,150,00,06,037,104321,1,Block Group 1,73382,98229.3706293706,93813,248,25,0,7,11,18,0,0,25,0,0,49,62,0,42,9,0
"Block Group 2, Census Tract 1043.21, Los Angeles County, California",ca,150,00,06,037,104321,2,Block Group 2,,77283.7209302326,81875,412,13,0,0,0,93,164,0,0,0,0,14,39,16,64,9,0
"Block Group 3, Census Tract 1043.21, Los Angeles County, California",ca,150,00,06,037,104321,3,Block Group 3,36702,42648.5294117647,,160,24,24,0,0,0,0,47,0,23,0,0,24,0,18,0,0
"Block Group 1, Census Tract 1043.22, Los Angeles County, California",ca,150,00,06,037,104322,1,Block Group 1,47450,81265.0176678445,63482,317,0,0,0,34,38,27,0,35,25,0,45,6,11,55,41,0
"Block Group 2, Census Tract 1043.22, Los Angeles County, California",ca,150,00,06,037,104322,2,Block Group 2,133333,136351.351351351,133924,128,0,0,0,7,0,0,0,0,0,1,14,30,0,36,27,13
"Block Group 1, Census Tract 1044.01, Los Angeles County, California",ca,150,00,06,037,104401,1,Block Group 1,73333,96881.5450643777,85521,304,17,14,0,8,23,9,19,11,0,27,34,36,9,19,42,36
"Block Group 2, Census Tract 1044.01, Los Angeles County, California",ca,150,00,06,037,104401,2,Block Group 2,67917,80282.7450980392,71375,303,0,26,0,11,8,25,14,4,16,39,26,31,21,43,30,9
"Block Group 1, Census Tract 1044.03, Los Angeles County, California",ca,150,00,06,037,104403,1,Block Group 1,94107,103880.081300813,84737,333,15,10,0,24,5,5,4,4,0,35,13,59,35,39,58,27
"Block Group 2, Census Tract 1044.03, Los Angeles County, California",ca,150,00,06,037,104403,2,Block Group 2,63036,194538.541666667,,204,0,12,0,6,0,0,26,5,23,15,26,10,20,5,11,45
"Block Group 1, Census Tract 1044.04, Los Angeles County, California",ca,150,00,06,037,104404,1,Block Group 1,88073,82478.4702549575,72188,371,0,0,18,34,46,0,8,43,7,0,0,69,47,49,22,28
"Block Group 2, Census Tract 1044.04, Los Angeles County, California",ca,150,00,06,037,104404,2,Block Group 2,75417,79427.4691358025,67222,385,49,11,0,23,0,25,12,0,12,26,32,76,13,54,39,13
"Block Group 1, Census Tract 1045, Los Angeles County, California",ca,150,00,06,037,104500,1,Block Group 1,75352,97160.1374570447,70855,311,23,0,8,3,6,0,5,0,0,54,52,41,26,32,7,54
"Block Group 2, Census Tract 1045, Los Angeles County, California",ca,150,00,06,037,104500,2,Block Group 2,65855,85551.6483516484,66776,315,21,15,15,25,26,11,0,0,22,16,26,27,43,28,18,22
"Block Group 1, Census Tract 1046.10, Los Angeles County, California",ca,150,00,06,037,104610,1,Block Group 1,72375,82406.1093247588,82250,365,32,29,0,0,28,19,24,9,22,7,13,66,47,5,29,35
"Block Group 2, Census Tract 1046.10, Los Angeles County, California",ca,150,00,06,037,104610,2,Block Group 2,112757,107512.595419847,113235,275,9,0,0,0,0,21,28,7,4,9,16,33,53,39,9,47
"Block Group 1, Census Tract 1046.20, Los Angeles County, California",ca,150,00,06,037,104620,1,Block Group 1,86397,105361.25,86103,264,0,0,4,0,22,0,13,2,11,45,6,54,28,14,21,44
"Block Group 2, Census Tract 1046.20, Los Angeles County, California",ca,150,00,06,037,104620,2,Block Group 2,80482,86157.0731707317,80197,458,13,7,19,15,18,52,0,8,18,12,34,111,68,2,47,34
"Block Group 1, Census Tract 1047.01, Los Angeles County, California",ca,150,00,06,037,104701,1,Block Group 1,108333,84151.7006802721,100750,166,6,0,0,7,0,13,13,0,0,25,0,9,62,16,15,0
"Block Group 2, Census Tract 1047.01, Los Angeles County, California",ca,150,00,06,037,104701,2,Block Group 2,38917,40547.2647702407,39542,568,54,37,45,53,14,50,44,0,65,35,89,24,58,0,0,0
"Block Group 3, Census Tract 1047.01, Los Angeles County, California",ca,150,00,06,037,104701,3,Block Group 3,73625,79836.4197530864,68750,175,0,13,0,0,6,23,0,13,0,3,35,31,11,16,24,0
"Block Group 1, Census Tract 1047.03, Los Angeles County, California",ca,150,00,06,037,104703,1,Block Group 1,85096,93993.7716262976,85865,357,43,7,13,8,25,6,8,28,3,6,21,23,30,121,12,3
"Block Group 2, Census Tract 1047.03, Los Angeles County, California",ca,150,00,06,037,104703,2,Block Group 2,45321,49738.0952380952,42188,236,14,28,0,0,19,35,17,0,51,17,18,23,8,6,0,0
"Block Group 1, Census Tract 1047.04, Los Angeles County, California",ca,150,00,06,037,104704,1,Block Group 1,57250,77147.5324675325,71528,508,14,23,0,51,40,26,41,0,17,43,64,21,117,13,25,13
"Block Group 2, Census Tract 1047.04, Los Angeles County, California",ca,150,00,06,037,104704,2,Block Group 2,80083,77922.4089635854,56685,384,57,22,6,28,0,0,25,0,8,23,0,87,37,7,84,0
"Block Group 3, Census Tract 1047.04, Los Angeles County, California",ca,150,00,06,037,104704,3,Block Group 3,50083,51954.9295774648,49565,306,0,9,0,29,51,8,25,7,23,40,14,80,11,9,0,0
"Block Group 1, Census Tract 1048.21, Los Angeles County, California",ca,150,00,06,037,104821,1,Block Group 1,75139,82931.8785578748,75625,562,18,28,37,21,9,25,0,0,49,35,58,122,46,24,53,37
"Block Group 2, Census Tract 1048.21, Los Angeles County, California",ca,150,00,06,037,104821,2,Block Group 2,61304,67590.5027932961,49519,190,0,5,12,5,10,0,17,4,13,17,23,35,30,6,4,9
"Block Group 1, Census Tract 1048.22, Los Angeles County, California",ca,150,00,06,037,104822,1,Block Group 1,48278,75899.3987975952,61250,644,20,72,40,17,55,0,36,57,56,5,37,112,30,36,44,27
"Block Group 1, Census Tract 1048.23, Los Angeles County, California",ca,150,00,06,037,104823,1,Block Group 1,95208,95623.4096692112,81406,461,15,6,8,23,0,55,50,0,28,5,27,78,41,25,52,48
"Block Group 2, Census Tract 1048.23, Los Angeles County, California",ca,150,00,06,037,104823,2,Block Group 2,76000,77208.0952380952,88333,232,0,0,22,32,0,0,0,34,0,0,22,42,40,30,6,4
"Block Group 1, Census Tract 1048.24, Los Angeles County, California",ca,150,00,06,037,104824,1,Block Group 1,,81394.6428571429,90463,147,0,0,28,0,0,0,3,10,0,31,7,0,30,27,7,4
"Block Group 2, Census Tract 1048.24, Los Angeles County, California",ca,150,00,06,037,104824,2,Block Group 2,88897,116374.45482866,87721,363,0,13,0,0,0,10,0,0,0,12,44,112,71,0,89,12
"Block Group 1, Census Tract 1060.10, Los Angeles County, California",ca,150,00,06,037,106010,1,Block Group 1,101597,146311.326860841,107188,375,4,5,0,13,19,28,21,10,0,5,28,43,44,28,25,102
"Block Group 2, Census Tract 1060.10, Los Angeles County, California",ca,150,00,06,037,106010,2,Block Group 2,134135,149142.543859649,138529,525,0,0,0,17,0,0,0,7,6,22,30,94,50,68,122,109
"Block Group 1, Census Tract 1060.20, Los Angeles County, California",ca,150,00,06,037,106020,1,Block Group 1,134408,166249.234135667,136705,563,12,38,0,44,0,0,0,0,0,0,12,85,66,95,22,189
"Block Group 2, Census Tract 1060.20, Los Angeles County, California",ca,150,00,06,037,106020,2,Block Group 2,127396,94239.2996108949,91280,380,7,0,0,51,0,0,16,0,0,19,0,74,0,92,66,55
"Block Group 3, Census Tract 1060.20, Los Angeles County, California",ca,150,00,06,037,106020,3,Block Group 3,75250,70009.9667774086,64063,340,32,44,0,0,0,7,0,20,0,47,19,61,60,35,11,4
"Block Group 1, Census Tract 1061.11, Los Angeles County, California",ca,150,00,06,037,106111,1,Block Group 1,102917,118876.731793961,101458,687,30,0,11,8,35,14,20,42,18,15,15,92,72,36,217,62
"Block Group 2, Census Tract 1061.11, Los Angeles County, California",ca,150,00,06,037,106111,2,Block Group 2,131838,167075.126903553,156250,681,5,0,47,3,12,0,4,0,0,23,64,81,77,66,128,171
"Block Group 1, Census Tract 1061.12, Los Angeles County, California",ca,150,00,06,037,106112,1,Block Group 1,116027,114556.11814346,119875,573,0,0,22,0,9,10,23,32,0,43,54,46,84,85,140,25
"Block Group 2, Census Tract 1061.12, Los Angeles County, California",ca,150,00,06,037,106112,2,Block Group 2,91133,111255.607476636,91328,463,10,0,11,0,6,0,70,10,11,31,25,75,71,23,46,74
"Block Group 3, Census Tract 1061.12, Los Angeles County, California",ca,150,00,06,037,106112,3,Block Group 3,104242,127398.501872659,117361,358,0,0,43,15,0,9,0,0,27,33,10,19,61,37,20,84
"Block Group 1, Census Tract 1061.13, Los Angeles County, California",ca,150,00,06,037,106113,1,Block Group 1,103795,119044.545454545,107500,613,6,3,0,17,30,0,0,12,6,44,109,65,104,50,76,91
"Block Group 2, Census Tract 1061.13, Los Angeles County, California",ca,150,00,06,037,106113,2,Block Group 2,140625,144114.285714286,147685,404,0,0,6,17,0,0,14,18,13,14,14,10,55,89,106,48
"Block Group 1, Census Tract 1061.14, Los Angeles County, California",ca,150,00,06,037,106114,1,Block Group 1,50850,63560.5363984674,40391,379,35,9,13,47,25,36,0,16,0,36,70,23,9,32,0,28
"Block Group 2, Census Tract 1061.14, Los Angeles County, California",ca,150,00,06,037,106114,2,Block Group 2,64313,71741.309255079,69766,518,40,0,36,0,45,15,27,12,28,27,63,132,40,14,31,8
"Block Group 3, Census Tract 1061.14, Los Angeles County, California",ca,150,00,06,037,106114,3,Block Group 3,99167,104942.060085837,107772,808,8,9,49,90,0,11,39,35,4,0,25,137,94,45,85,177
"Block Group 1, Census Tract 1064.03, Los Angeles County, California",ca,150,00,06,037,106403,1,Block Group 1,130792,149576.851851852,136250,257,4,4,1,15,12,21,0,0,0,0,26,28,5,34,41,66
"Block Group 2, Census Tract 1064.03, Los Angeles County, California",ca,150,00,06,037,106403,2,Block Group 2,98047,133154.672897196,99667,274,17,14,30,4,0,8,0,0,7,0,39,43,21,0,22,69
"Block Group 3, Census Tract 1064.03, Los Angeles County, California",ca,150,00,06,037,106403,3,Block Group 3,66406,86431.561461794,65781,339,47,0,0,11,33,6,4,23,19,16,14,55,43,18,38,12
"Block Group 1, Census Tract 1064.05, Los Angeles County, California",ca,150,00,06,037,106405,1,Block Group 1,87165,127986.038961039,102400,415,9,10,30,0,8,42,0,0,7,0,66,65,79,27,4,68
"Block Group 2, Census Tract 1064.05, Los Angeles County, California",ca,150,00,06,037,106405,2,Block Group 2,78086,72214.9584487535,66146,447,30,0,0,88,9,0,0,25,0,0,64,170,25,12,18,6
"Block Group 3, Census Tract 1064.05, Los Angeles County, California",ca,150,00,06,037,106405,3,Block Group 3,102250,98808.984375,91214,328,0,0,0,0,0,0,0,31,0,48,36,40,83,69,13,8
"Block Group 1, Census Tract 1064.06, Los Angeles County, California",ca,150,00,06,037,106406,1,Block Group 1,97917,140183.450210379,95880,1022,0,0,10,6,39,0,15,87,30,82,25,232,236,68,72,120
"Block Group 2, Census Tract 1064.06, Los Angeles County, California",ca,150,00,06,037,106406,2,Block Group 2,97806,154825.196850394,99556,317,47,0,0,0,0,0,16,17,0,20,44,54,0,46,0,73
"Block Group 3, Census Tract 1064.06, Los Angeles County, California",ca,150,00,06,037,106406,3,Block Group 3,110381,117996.199524941,110456,506,0,26,0,0,9,0,0,44,0,42,28,86,118,81,29,43
"Block Group 1, Census Tract 1064.07, Los Angeles County, California",ca,150,00,06,037,106407,1,Block Group 1,33285,58674.8120300752,50682,505,15,104,34,44,42,43,10,0,26,38,64,51,6,11,12,5
"Block Group 2, Census Tract 1064.07, Los Angeles County, California",ca,150,00,06,037,106407,2,Block Group 2,52589,62923.2804232804,65107,307,5,92,16,5,17,0,0,5,13,27,55,34,27,5,6,0
"Block Group 1, Census Tract 1064.08, Los Angeles County, California",ca,150,00,06,037,106408,1,Block Group 1,55185,69416.4464023495,52750,794,61,9,9,41,76,24,29,25,78,76,65,81,80,62,67,11
"Block Group 2, Census Tract 1064.08, Los Angeles County, California",ca,150,00,06,037,106408,2,Block Group 2,43611,45303.6842105263,36310,206,19,8,0,20,6,16,26,18,0,5,32,56,0,0,0,0
"Block Group 1, Census Tract 1065.10, Los Angeles County, California",ca,150,00,06,037,106510,1,Block Group 1,98958,99907.2580645161,117750,454,9,19,24,12,0,0,0,32,43,8,52,33,100,86,8,28
"Block Group 2, Census Tract 1065.10, Los Angeles County, California",ca,150,00,06,037,106510,2,Block Group 2,82008,161726.666666667,123906,531,47,63,0,0,18,0,0,0,0,0,66,116,8,36,10,167
"Block Group 3, Census Tract 1065.10, Los Angeles County, California",ca,150,00,06,037,106510,3,Block Group 3,130110,121349.904761905,142728,645,35,30,0,0,0,0,0,0,0,16,19,133,79,165,145,23
"Block Group 1, Census Tract 1065.20, Los Angeles County, California",ca,150,00,06,037,106520,1,Block Group 1,66154,82567.9841897233,60000,592,38,19,64,12,52,21,9,0,30,45,68,24,62,77,43,28
"Block Group 2, Census Tract 1065.20, Los Angeles County, California",ca,150,00,06,037,106520,2,Block Group 2,107793,105677.674418605,98036,561,24,0,0,24,16,31,0,12,0,52,30,74,98,85,63,52
"Block Group 3, Census Tract 1065.20, Los Angeles County, California",ca,150,00,06,037,106520,3,Block Group 3,95833,141585.60311284,96597,268,0,0,11,32,0,0,0,0,8,26,33,36,33,6,43,40
"Block Group 1, Census Tract 1066.03, Los Angeles County, California",ca,150,00,06,037,106603,1,Block Group 1,117000,146121.040189125,116650,494,4,29,13,0,0,4,14,0,16,5,97,24,95,32,42,119
"Block Group 2, Census Tract 1066.03, Los Angeles County, California",ca,150,00,06,037,106603,2,Block Group 2,187543,195583.52553542,180694,691,21,5,0,19,21,6,25,16,0,16,53,28,24,86,71,300
"Block Group 1, Census Tract 1066.04, Los Angeles County, California",ca,150,00,06,037,106604,1,Block Group 1,58860,64944.1113490364,59890,585,23,45,38,13,31,17,27,34,0,80,165,15,37,19,35,6
"Block Group 2, Census Tract 1066.04, Los Angeles County, California",ca,150,00,06,037,106604,2,Block Group 2,88224,163640.540540541,116364,379,8,9,0,5,8,6,0,35,0,21,40,71,43,17,20,96
"Block Group 3, Census Tract 1066.04, Los Angeles County, California",ca,150,00,06,037,106604,3,Block Group 3,54769,74612.6394052045,54398,277,0,0,0,22,0,10,47,35,0,27,46,11,29,0,16,34
